product_id,product_name,category_name,2026-03-30,2026-04-06,2026-04-13,2026-04-20
905643P,ANGOLA SILVER BLACK II,granite,5.0,2.0,0,4.0
905633P,ANTIQUE WHITE II,granite,0,1.0,0,10.0
792882P,BIANCO PERLA,granite,45.0,45.0,26.0,23.0
374007P,BROWN FANTASY,marble,52.0,49.0,28.0,25.0
890911P,CALACATTA AURORA II,quartz,23.0,21.0,21.0,21.0
890916P,CALACATTA CREEK II,quartz,97.0,72.0,122.0,114.0
890906P,CALACATTA LUCA II,quartz,60.0,52.0,34.0,32.0
888441P,CALACATTA MIRAGIO,quartz,0,0,44.0,26.0
902127P,CALACATTA SIENA II,quartz,27.0,23.0,19.0,19.0
902132P,CALACATTA VENICE II,quartz,1.0,1.0,1.0,1.0
911852P,CHARCOAL GREY II,quartz,0,0,0,0
905638P,GIALLO ORNAMENTAL II,granite,36.0,32.0,20.0,4.0
627859P,MAHARAJA,quartzite,2.0,1.0,1.0,1.0
736102P,MONA LISA,granite,0,0,0,0
809537P,NEW BIANCO FLOWER,granite,104.0,77.0,76.0,49.0
904424P,NEW GREY SPARKLE II,quartz,2.0,3.0,0,0
867813P,NEW NAMIB FANTASY II,marble,13.0,6.0,0,1.0
902137P,OYSTER II,quartz,21.0,21.0,6.0,7.0
902143P,PURE WHITE II,quartz,195.0,170.0,166.0,174.0
888436P,SIMPLE CARRERA,quartz,1.0,1.0,0,0
914861P,SPARKLE BLACK II,quartz,0,0,0,0
367216P,ST. CECILIA LIGHT,granite,44.0,44.0,44.0,44.0
341205P,STEEL GREY,granite,5.0,5.0,5.0,5.0
905648P,VISCOUNT WHITE I,granite,16.0,16.0,6.0,3.0
406561P,WHITE CARRARA,quartz,92.0,76.0,63.0,49.0
375031P,WHITE ROSE,granite,0,1.0,1.0,1.0
888426P,WHITE SPARKLE,quartz,0,0,0,0
